date,yield_pct
2008-11-14,3.6603
2008-11-17,3.7
2008-11-18,3.7119
2008-11-19,3.7498
2008-11-20,3.7743
2008-11-21,3.7173
2008-11-24,3.725
2008-11-25,3.752
2008-11-26,3.7
2008-11-27,3.68
2008-11-28,3.7
2008-12-01,3.7295
2008-12-02,3.7572
2008-12-03,3.7572
2008-12-04,3.7238
2008-12-05,3.7168
2008-12-08,3.7065
2008-12-09,3.7321
2008-12-10,3.7228
2008-12-11,3.7042
2008-12-12,3.7026
2008-12-15,3.7015
2008-12-16,3.6915
2008-12-17,3.6765
2008-12-18,3.64
2008-12-19,3.6303
2008-12-22,3.6322
2008-12-23,3.62
2008-12-24,3.6222
2008-12-25,3.6125
2008-12-26,3.6515
2008-12-29,3.6645
2008-12-30,3.6627
2008-12-31,3.6627
2009-01-04,3.6305
2009-01-05,3.6065
2009-01-06,3.5866
2009-01-07,3.5917
2009-01-08,3.5749
2009-01-09,3.5745
2009-01-12,3.5566
2009-01-13,3.6066
2009-01-14,3.6758
2009-01-15,3.7558
2009-01-16,3.7393
2009-01-19,3.711
2009-01-20,3.75
2009-01-21,3.7835
2009-01-22,3.7804
2009-01-23,3.7769
2009-01-24,3.7753
2009-02-01,3.775
2009-02-02,3.8782
2009-02-03,3.895
2009-02-04,3.9641
2009-02-05,3.9546
2009-02-06,3.9645
2009-02-09,3.947
2009-02-10,3.9473
2009-02-11,3.9473
2009-02-12,3.9279
2009-02-13,3.8984
2009-02-16,3.9424
2009-02-17,3.975
2009-02-18,3.9851
2009-02-19,3.9732
2009-02-20,3.9743
2009-02-23,3.9754
2009-02-24,3.9756
2009-02-25,4.0045
2009-02-26,3.9752
2009-02-27,3.9717
2009-03-02,3.9683
2009-03-03,3.9785
2009-03-04,3.9771
2009-03-05,3.9996
2009-03-06,3.9834
2009-03-09,3.9814
2009-03-10,3.9805
2009-03-11,3.9804
2009-03-12,3.9725
2009-03-13,3.988
2009-03-16,3.9921
2009-03-17,3.9917
2009-03-18,4.0004
2009-03-19,4.0016
2009-03-20,4.006
2009-03-23,3.9966
2009-03-24,4.0052
2009-03-25,4.0051
2009-03-26,4.0153
2009-03-27,4.0155
2009-03-30,4.0102
2009-03-31,3.9946
2009-04-01,3.9896
2009-04-02,4.0027
2009-04-03,4.0032
2009-04-07,4.05
2009-04-08,4.0233
2009-04-09,4.0296
2009-04-10,4.03
2009-04-13,4.0301
2009-04-14,4.045
2009-04-15,4.0558
2009-04-16,4.0344
2009-04-17,4.0205
2009-04-20,4.0199
2009-04-21,4.0098
2009-04-22,4.0098
2009-04-23,4.0198
2009-04-24,4.0249
2009-04-27,4.0305
2009-04-28,4.0205
2009-04-29,4.0105
2009-04-30,4.0119
2009-05-04,3.9961
2009-05-05,3.9868
2009-05-06,3.9884
2009-05-07,3.9951
2009-05-08,3.9683
2009-05-11,3.9666
2009-05-12,3.9665
2009-05-13,3.9615
2009-05-14,3.9712
2009-05-15,3.9675
2009-05-18,3.9647
2009-05-19,3.9547
2009-05-20,3.937
2009-05-21,3.947
2009-05-22,3.9554
2009-05-25,3.9522
2009-05-26,3.9491
2009-05-27,3.9572
2009-05-31,3.9562
2009-06-01,3.9514
2009-06-02,3.9526
2009-06-03,3.9512
2009-06-04,3.9612
2009-06-05,3.9662
2009-06-08,3.9764
2009-06-09,3.971
2009-06-10,3.9705
2009-06-11,3.9706
2009-06-12,3.9711
2009-06-15,3.971
2009-06-16,3.9709
2009-06-17,3.9711
2009-06-18,3.9662
2009-06-19,3.9709
2009-06-22,3.9719
2009-06-23,3.972
2009-06-24,4.0017
2009-06-25,4.0089
2009-06-26,4.0146
2009-06-29,4.0054
2009-06-30,4.0047
2009-07-01,4.0326
2009-07-02,4.045
2009-07-03,4.035
2009-07-06,4.0171
2009-07-07,4.0111
2009-07-08,4.0058
2009-07-09,4.0155
2009-07-10,4.0116
2009-07-13,4.0062
2009-07-14,4.006
2009-07-15,4.006
2009-07-16,4.006
2009-07-17,4.025
2009-07-20,4.0069
2009-07-21,4.0045
2009-07-22,4.0044
2009-07-23,4.0045
2009-07-24,4.0045
2009-07-27,4.0243
2009-07-28,4.0308
2009-07-29,4.0411
2009-07-30,4.0499
2009-07-31,4.0645
2009-08-03,4.08
2009-08-04,4.1069
2009-08-05,4.1078
2009-08-06,4.1028
2009-08-07,4.1027
2009-08-10,4.0927
2009-08-11,4.0927
2009-08-12,4.0977
2009-08-13,4.0997
2009-08-14,4.0997
2009-08-17,4.1097
2009-08-18,4.1097
2009-08-19,4.0997
